id,studentid,jobid,action,content
137,2015012805,4,BEGIN_READING,TIMESTAMP=1449758483868	USER=2015012805	JOBID=4	ACTION=BEGIN_READING	INFO: CURRENT_DOC=3
138,2015012805,4,END_READING,TIMESTAMP=1449758622929	USER=2015012805	JOBID=4	ACTION=END_READING	INFO: CURRENT_DOC=3
139,2015012805,4,RELEVANCE_ANNOTATION,TIMESTAMP=1449758628056	USER=2015012805	JOBID=4	ACTION=RELEVANCE_ANNOTATION	INFO: CURRENT_DOC=3 REL=3
140,2015012805,4,BEGIN_READING,TIMESTAMP=1449758629761	USER=2015012805	JOBID=4	ACTION=BEGIN_READING	INFO: CURRENT_DOC=4
141,2015012805,4,END_READING,TIMESTAMP=1449758735601	USER=2015012805	JOBID=4	ACTION=END_READING	INFO: CURRENT_DOC=4
142,2015012805,4,RELEVANCE_ANNOTATION,TIMESTAMP=1449758738625	USER=2015012805	JOBID=4	ACTION=RELEVANCE_ANNOTATION	INFO: CURRENT_DOC=4 REL=0
143,2015012805,4,TIME_ESTIMATION,TIMESTAMP=1449758788417	USER=2015012805	JOBID=4	DOCID=0	ACTION=TIME_ESTIMATION	INFO:Segments=334_506_836_
144,2015012805,4,RELATIVE_ESTIMATION,TIMESTAMP=1449758879825	USER=2015012805	JOBID=4	DOCID=0	ACTION=RELATIVE_ESTIMATION	INFO:Range=_15_18_8_11_13_16_8_10_44_55 Relative=94_48_93_49_
145,2015012805,4,OUTCOME,"TIMESTAMP=1449759227421	USER=2015012805	JOBID=4	DOCID=0	ACTION=OUTCOME	INFO:answer=One hypothesis may be that an asteroid or comet hit the earth,and the dense  dust block the sunshine,so the temperature became low.It's cold for the plants and animals to survive,and dinosaurs can't find food.Then,the greenhouse gas made the climate become hot,so the extreme climate may cause the extinction to some extend."
146,2015012805,5,BEGIN_READING,TIMESTAMP=1449759269775	USER=2015012805	JOBID=5	ACTION=BEGIN_READING	INFO: CURRENT_DOC=1
147,2015012805,5,END_READING,TIMESTAMP=1449759668922	USER=2015012805	JOBID=5	ACTION=END_READING	INFO: CURRENT_DOC=1
148,2015012805,5,BEGIN_READING,TIMESTAMP=1449759671818	USER=2015012805	JOBID=5	ACTION=BEGIN_READING	INFO: CURRENT_DOC=2
149,2015012805,5,END_READING,TIMESTAMP=1449759863392	USER=2015012805	JOBID=5	ACTION=END_READING	INFO: CURRENT_DOC=2
